epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,551.097,1.58876,1.94882,1.67452,0.41203,0.40286,0.34729,0.15123,1.97682,2.45946,2.02731,0.000332222,0.000332222,0.000332222
2,751.926,1.76684,2.02413,1.84951,0.4589,0.38171,0.36689,0.16253,1.93802,2.48695,2.08151,0.000661163,0.000661163,0.000661163
3,955.215,1.76561,2.02194,1.83376,0.43742,0.34394,0.30972,0.13438,1.97365,3.50014,2.09907,0.000985704,0.000985704,0.000985704
4,1158.17,1.74249,1.98704,1.81421,0.45888,0.42451,0.4006,0.18155,1.90198,2.1404,2.05463,0.0009802,0.0009802,0.0009802
5,1361.88,1.68808,1.91952,1.78548,0.53037,0.42742,0.43881,0.21424,1.74665,2.14152,1.92498,0.0009736,0.0009736,0.0009736
6,1566.49,1.61057,1.79815,1.7314,0.53728,0.45727,0.45797,0.23622,1.66937,2.02939,1.84647,0.000967,0.000967,0.000967
7,1771.64,1.58708,1.74994,1.70109,0.61046,0.47045,0.50632,0.25508,1.66712,1.73798,1.81629,0.0009604,0.0009604,0.0009604
8,1977.1,1.55791,1.70833,1.68198,0.61771,0.48393,0.52944,0.29082,1.59874,1.60938,1.7959,0.0009538,0.0009538,0.0009538
9,2183.21,1.51409,1.62388,1.65068,0.6245,0.49109,0.52934,0.2837,1.64386,1.77939,1.8178,0.0009472,0.0009472,0.0009472
10,2387.94,1.50465,1.5915,1.63196,0.57896,0.4706,0.49354,0.2654,1.6217,1.98092,1.76765,0.0009406,0.0009406,0.0009406
11,2590.19,1.47961,1.53712,1.61928,0.68784,0.52169,0.58045,0.31778,1.55914,1.50656,1.73475,0.000934,0.000934,0.000934
12,2798.59,1.46306,1.51833,1.60532,0.65791,0.53298,0.57313,0.31845,1.52344,1.46431,1.68288,0.0009274,0.0009274,0.0009274
13,3001.23,1.43503,1.47925,1.59394,0.69099,0.5558,0.62268,0.35769,1.49122,1.42521,1.66565,0.0009208,0.0009208,0.0009208
14,3203.83,1.42252,1.46688,1.58458,0.66924,0.55819,0.62091,0.35475,1.48767,1.41745,1.67585,0.0009142,0.0009142,0.0009142
15,3403.89,1.42053,1.43251,1.57616,0.7086,0.5701,0.63363,0.36257,1.48266,1.39886,1.65882,0.0009076,0.0009076,0.0009076
16,3605.52,1.41022,1.41003,1.56722,0.68744,0.55993,0.62957,0.36319,1.45984,1.46231,1.63996,0.000901,0.000901,0.000901
17,3807.61,1.38356,1.38806,1.54401,0.67567,0.56253,0.6188,0.35352,1.47724,1.41924,1.66023,0.0008944,0.0008944,0.0008944
18,4008.86,1.37505,1.3852,1.55393,0.67861,0.5928,0.6326,0.37046,1.45127,1.40125,1.6364,0.0008878,0.0008878,0.0008878
19,4215.74,1.35392,1.36667,1.54267,0.66727,0.57906,0.63293,0.3748,1.44459,1.38868,1.64767,0.0008812,0.0008812,0.0008812
20,4415.79,1.35037,1.36127,1.53659,0.70747,0.59347,0.65322,0.39255,1.41357,1.24988,1.63103,0.0008746,0.0008746,0.0008746
21,4619.18,1.34685,1.31626,1.53165,0.70105,0.58716,0.64926,0.38452,1.44335,1.28389,1.65721,0.000868,0.000868,0.000868
22,4821.76,1.34617,1.3379,1.52851,0.66823,0.58172,0.63102,0.37038,1.47071,1.39755,1.6645,0.0008614,0.0008614,0.0008614
23,5022.11,1.33819,1.30335,1.52344,0.72861,0.59896,0.66542,0.38638,1.44854,1.29864,1.63059,0.0008548,0.0008548,0.0008548
24,5222.44,1.32519,1.28491,1.5144,0.70465,0.60604,0.67352,0.40923,1.38721,1.24845,1.57924,0.0008482,0.0008482,0.0008482
25,5424.56,1.32337,1.25582,1.50686,0.69006,0.63428,0.67556,0.40185,1.39887,1.26122,1.60154,0.0008416,0.0008416,0.0008416
26,5623.69,1.29869,1.26008,1.49379,0.72589,0.60744,0.68286,0.40614,1.39735,1.23433,1.59476,0.000835,0.000835,0.000835
27,5822.96,1.27496,1.22834,1.48349,0.73326,0.63094,0.69993,0.42515,1.37495,1.18956,1.57652,0.0008284,0.0008284,0.0008284
28,6023.61,1.28423,1.23934,1.49489,0.74541,0.62681,0.69643,0.42538,1.36845,1.1739,1.57594,0.0008218,0.0008218,0.0008218
29,6225.47,1.27862,1.21728,1.47501,0.7277,0.64461,0.70257,0.43177,1.35954,1.16637,1.55961,0.0008152,0.0008152,0.0008152
30,6429.17,1.25754,1.20131,1.46954,0.72422,0.64579,0.69557,0.4304,1.36069,1.18438,1.5654,0.0008086,0.0008086,0.0008086
31,6630.73,1.25696,1.18957,1.46849,0.7183,0.61958,0.68918,0.42974,1.35759,1.17244,1.56789,0.000802,0.000802,0.000802
32,6828.45,1.26637,1.20273,1.47087,0.71083,0.63445,0.68566,0.42178,1.37022,1.19937,1.57106,0.0007954,0.0007954,0.0007954
33,7026.01,1.25209,1.17219,1.46428,0.74283,0.6544,0.71292,0.44701,1.33026,1.12109,1.54029,0.0007888,0.0007888,0.0007888
34,7226.33,1.23043,1.14203,1.44898,0.76501,0.62779,0.71565,0.4444,1.31328,1.14067,1.53455,0.0007822,0.0007822,0.0007822
35,7424.28,1.23238,1.1522,1.44793,0.73105,0.66156,0.72038,0.44582,1.32446,1.11239,1.54723,0.0007756,0.0007756,0.0007756
36,7622.27,1.23284,1.13768,1.45121,0.74175,0.64811,0.71475,0.45055,1.32165,1.09572,1.53059,0.000769,0.000769,0.000769
37,486.181,1.2201,1.14427,1.44127,0.75636,0.64811,0.72501,0.45565,1.31645,1.11049,1.52967,0.0007624,0.0007624,0.0007624
38,687.16,1.2267,1.12693,1.45347,0.73379,0.64547,0.70744,0.44657,1.31422,1.12025,1.52965,0.0007558,0.0007558,0.0007558
39,881.269,1.22208,1.13033,1.4378,0.75776,0.64435,0.72145,0.45244,1.3066,1.07976,1.53105,0.0007492,0.0007492,0.0007492
40,1076.22,1.22289,1.10482,1.43516,0.75415,0.65954,0.72519,0.45947,1.30258,1.08227,1.51206,0.0007426,0.0007426,0.0007426
41,1272.53,1.21179,1.11597,1.43408,0.73157,0.66103,0.71806,0.4501,1.3155,1.09452,1.52591,0.000736,0.000736,0.000736
42,1466,1.20558,1.09567,1.42828,0.76471,0.64964,0.72504,0.46434,1.29615,1.06593,1.50564,0.0007294,0.0007294,0.0007294
43,1661.52,1.20152,1.10681,1.42581,0.75877,0.65139,0.73332,0.46502,1.31215,1.06569,1.51402,0.0007228,0.0007228,0.0007228
44,1857.02,1.19569,1.09998,1.41942,0.7623,0.66375,0.73285,0.46661,1.28196,1.02765,1.49833,0.0007162,0.0007162,0.0007162
45,2054.21,1.1823,1.05637,1.41296,0.75167,0.6593,0.72394,0.46026,1.30606,1.07032,1.51471,0.0007096,0.0007096,0.0007096
46,2249.35,1.19086,1.06143,1.40728,0.74292,0.67938,0.73902,0.47439,1.27884,1.00175,1.49837,0.000703,0.000703,0.000703
47,2445.97,1.17774,1.05022,1.40088,0.76969,0.66757,0.74076,0.47664,1.2767,1.01564,1.49965,0.0006964,0.0006964,0.0006964
48,2644.33,1.17195,1.0517,1.40111,0.77515,0.66832,0.7467,0.47831,1.2815,0.99824,1.50797,0.0006898,0.0006898,0.0006898
49,2844.96,1.15854,1.03464,1.39447,0.7536,0.67742,0.74109,0.47853,1.27411,1.02018,1.4941,0.0006832,0.0006832,0.0006832
50,3042.46,1.16398,1.04712,1.39361,0.76233,0.67496,0.74127,0.47807,1.28046,1.0123,1.48381,0.0006766,0.0006766,0.0006766
51,3236.95,1.16241,1.01861,1.37991,0.79291,0.66535,0.74884,0.48143,1.27009,1.01704,1.48161,0.00067,0.00067,0.00067
52,3433.73,1.15992,1.01461,1.38432,0.78526,0.67118,0.75576,0.4874,1.26855,0.99658,1.48174,0.0006634,0.0006634,0.0006634
53,3628.61,1.14509,1.0067,1.37397,0.75939,0.68153,0.75059,0.48947,1.25824,0.97538,1.47345,0.0006568,0.0006568,0.0006568
54,3823.88,1.1382,1.00727,1.37997,0.77772,0.6787,0.75252,0.48825,1.25552,0.98871,1.47235,0.0006502,0.0006502,0.0006502
55,4019.09,1.11323,0.98907,1.36431,0.78913,0.66966,0.75366,0.49025,1.2449,0.99423,1.4477,0.0006436,0.0006436,0.0006436
56,4215.28,1.12069,0.9923,1.36508,0.77203,0.67266,0.74089,0.48406,1.25439,0.99464,1.47233,0.000637,0.000637,0.000637
57,4410.37,1.12237,0.97615,1.3635,0.78869,0.66482,0.74943,0.48808,1.26121,0.98497,1.47237,0.0006304,0.0006304,0.0006304
58,4605.16,1.12732,0.99679,1.36832,0.77207,0.67127,0.74808,0.48359,1.25597,1.00034,1.48736,0.0006238,0.0006238,0.0006238
59,4799.23,1.13081,0.97516,1.3615,0.77833,0.67319,0.75167,0.48573,1.26436,0.993,1.48817,0.0006172,0.0006172,0.0006172
60,4993.37,1.11564,0.96192,1.35254,0.78702,0.67846,0.76064,0.49749,1.23945,0.96749,1.45842,0.0006106,0.0006106,0.0006106
61,5189.54,1.11436,0.95479,1.35009,0.78545,0.67582,0.75631,0.49458,1.24758,0.96385,1.47168,0.000604,0.000604,0.000604
62,5384.57,1.10866,0.96251,1.35174,0.78835,0.67852,0.76037,0.49703,1.23841,0.9473,1.47124,0.0005974,0.0005974,0.0005974
63,5578.88,1.09602,0.94906,1.34505,0.78159,0.6819,0.76383,0.50147,1.23421,0.94763,1.45419,0.0005908,0.0005908,0.0005908
64,5774.76,1.09376,0.94457,1.34961,0.80161,0.6719,0.7634,0.50462,1.22554,0.94754,1.45577,0.0005842,0.0005842,0.0005842
65,5971.34,1.07888,0.92452,1.33197,0.78237,0.69017,0.76496,0.50162,1.23201,0.9386,1.46023,0.0005776,0.0005776,0.0005776
66,6166.57,1.07031,0.9279,1.33019,0.80459,0.68227,0.76693,0.5035,1.22303,0.94246,1.44711,0.000571,0.000571,0.000571
67,6361.51,1.07677,0.91858,1.33205,0.80835,0.67729,0.77005,0.50937,1.22028,0.93129,1.45068,0.0005644,0.0005644,0.0005644
68,6557.65,1.07532,0.91869,1.32985,0.78432,0.681,0.76453,0.50709,1.22568,0.91772,1.45378,0.0005578,0.0005578,0.0005578
69,6752.28,1.07632,0.91036,1.32865,0.80106,0.68197,0.75867,0.50077,1.23663,0.94355,1.45681,0.0005512,0.0005512,0.0005512
70,6946.53,1.06227,0.88797,1.31875,0.77801,0.69784,0.77012,0.50961,1.21975,0.91945,1.44273,0.0005446,0.0005446,0.0005446
71,7141.81,1.05092,0.88696,1.31063,0.79908,0.68635,0.76975,0.50854,1.22044,0.91571,1.44442,0.000538,0.000538,0.000538
72,7335.42,1.0592,0.89101,1.31625,0.8025,0.68723,0.766,0.50826,1.22324,0.92102,1.45026,0.0005314,0.0005314,0.0005314
73,7530.44,1.07062,0.90898,1.32106,0.77737,0.70354,0.76992,0.51013,1.21339,0.91103,1.44381,0.0005248,0.0005248,0.0005248
74,1006.55,1.04467,0.88812,1.31252,0.78667,0.69555,0.76694,0.51217,1.2149,0.92499,1.45494,0.0005182,0.0005182,0.0005182
75,1195.28,1.06138,0.87845,1.32148,0.83043,0.66724,0.76536,0.50971,1.21002,0.91974,1.44721,0.0005116,0.0005116,0.0005116
76,1380.63,1.0472,0.86908,1.30694,0.79946,0.69127,0.76586,0.51055,1.21302,0.91198,1.44231,0.000505,0.000505,0.000505
77,1563.45,1.04899,0.86884,1.30719,0.80095,0.69725,0.77001,0.51267,1.21588,0.90675,1.45165,0.0004984,0.0004984,0.0004984
78,1748.2,1.04131,0.86654,1.30129,0.80265,0.69206,0.76981,0.51343,1.20439,0.90433,1.44039,0.0004918,0.0004918,0.0004918
79,1933.76,1.03005,0.85399,1.30252,0.79829,0.69606,0.77104,0.51414,1.2138,0.90405,1.44463,0.0004852,0.0004852,0.0004852
80,2118.82,1.02905,0.85819,1.29448,0.81448,0.6965,0.77721,0.52037,1.2044,0.89644,1.44534,0.0004786,0.0004786,0.0004786
81,2314.55,1.02645,0.85321,1.29341,0.80337,0.6925,0.77397,0.51966,1.20947,0.90259,1.43587,0.000472,0.000472,0.000472
82,2509.51,1.01057,0.82298,1.28676,0.79268,0.70159,0.77404,0.5167,1.20973,0.90099,1.44454,0.0004654,0.0004654,0.0004654
83,2697.4,1.02164,0.83753,1.28309,0.79742,0.69781,0.77827,0.52191,1.2015,0.88861,1.43968,0.0004588,0.0004588,0.0004588
84,2886.87,1.01992,0.83513,1.28331,0.80747,0.69507,0.77727,0.52186,1.19708,0.88815,1.43476,0.0004522,0.0004522,0.0004522
85,3073.27,1.00777,0.81624,1.27497,0.8022,0.70613,0.77881,0.52115,1.208,0.88681,1.44827,0.0004456,0.0004456,0.0004456
86,3260.1,0.99259,0.80907,1.26609,0.80338,0.69167,0.77314,0.52145,1.20924,0.90038,1.44304,0.000439,0.000439,0.000439
87,3446.59,0.99871,0.81404,1.27207,0.81025,0.70208,0.77761,0.52007,1.21027,0.88333,1.43979,0.0004324,0.0004324,0.0004324
88,3632.27,1.00003,0.80288,1.26389,0.80847,0.69684,0.7772,0.51933,1.21562,0.89429,1.44287,0.0004258,0.0004258,0.0004258
89,3818.31,0.99984,0.80248,1.26302,0.80378,0.70453,0.77565,0.51977,1.21168,0.88748,1.44514,0.0004192,0.0004192,0.0004192
90,4003.68,0.98889,0.7977,1.25756,0.8273,0.68499,0.77991,0.52248,1.20667,0.88704,1.43803,0.0004126,0.0004126,0.0004126
91,4190.37,0.98166,0.78929,1.26472,0.78651,0.7143,0.77423,0.51898,1.21683,0.89383,1.45017,0.000406,0.000406,0.000406
92,4377.65,0.96898,0.78428,1.26164,0.80445,0.70338,0.77839,0.52232,1.2105,0.88043,1.44738,0.0003994,0.0003994,0.0003994
93,4562.64,0.9715,0.7861,1.25557,0.80465,0.70047,0.77271,0.5181,1.21681,0.89587,1.45272,0.0003928,0.0003928,0.0003928
94,4747.52,0.9629,0.76866,1.24811,0.81628,0.69604,0.78364,0.5229,1.21515,0.87465,1.44947,0.0003862,0.0003862,0.0003862
